City,Pharmacy_Name,Address,Phone_Number,Website,Email,Opening_Hours,Flu_Vaccines_Offered,COVID-19_Vaccines_Offered,latitude,longitude
Cavan,Callans Pharmacy,"Main Street, Kingscourt, Cavan, A82 V8D6",042 966 7328,https://www.google.ie/maps/search/A82%20V8D6,callanspharmacy@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.9049634,-6.8046151
Cavan,Cara Pharmacy Bailieborough,"Main Street, Bailieborough, Cavan, A82 WE52",042 966 5551,https://www.google.ie/maps/search/A82%20WE52,CaraBailieborough@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.9168766,-6.9708871
Cavan,Cara Pharmacy Ballyconnell,"Main Street, Ballyconnell, Cavan, H14 CP83",049 952 6159,https://www.google.ie/maps/search/H14%20CP83,NA,NA,NA,COVID-19 vaccines being offered:; 12 years and over,54.1171488,-7.5824914
Cavan,Cara Pharmacy Ballyconnell,"Main Street, Ballyconnell, Cavan, H14 CP83",049 952 6159,https://www.google.ie/maps/search/H14%20CP83,CaraBallyconnell@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,54.1171488,-7.5824914
Cavan,Cara Pharmacy Cavan,"77 Main Street, Cavan, Cavan, H12 P0A4",049 4331 176,https://www.google.ie/maps/search/H12%20P0A4,CaraCavan@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.9902407,-7.3605599
Cavan,Cootehill Careplus Pharmacy,"26 Market Street, Cootehill, Cavan, H16 XC62",049 555 6666,https://www.google.ie/maps/search/H16%20XC62,cootehillpharmacy@careplus.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,54.0741582,-7.080874199999999
Cavan,Lynchs Pharmacy,"Virginia Shopping Centre, Virginia, Cavan, A82 W0C8",049 8548 708,https://www.google.ie/maps/search/A82%20W0C8,lynchsvirgina@gmail.com,NA,NA,COVID-19 vaccines being offered:; 12 years and over,53.8347244,-7.0854942
Cavan,McCauley Health and Beauty Pharmacy Cavan,"Unit 4 Connolly Court, Cavan Town, Cavan, H12 YV44",049 437 2551,https://www.google.ie/maps/search/H12%20YV44,cavan@smcc.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.987806,-7.360509599999999
Cavan,McCrystal's Staywell Pharmacy,"78 Market Street, Drumaveil North, Cootehill, Cavan, H16 X005",049 555 2117,https://www.google.ie/maps/search/H16%20X005,cootehill@mccrystalpharmacy.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,54.0727201,-7.0823297
Cavan,McCrystals Pharmacy,"Main Street, Virgina, Cavan, A82 K270",049 8548 356,https://www.google.ie/maps/search/A82%20K270,mccrystalspharmacy@staywell.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.8340551,-7.0807946
Cavan,McDaids Pharmacy Cavan,"14 New Court Shopping Centre, Cavan Town, Cavan, H12 W300",049 436 1454,https://www.google.ie/maps/search/H12%20W300,info@mcdaidpharmacy.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,53.9927072,-7.3592097
Cavan,McNallys Pharmacy365,"Market Square, Lisasturrin, Kingscourt, Cavan, A82 V2V8",042 966 7707,https://www.google.ie/maps/search/A82%20V2V8,info@mcnallyspharmacy365.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,53.9026565,-6.8002056
Cavan,O'Donoghues Pharmacy,"Main Street, Virginia, Cavan, A82 F4A6",049 854 7046,https://www.google.ie/maps/search/A82%20F4A6,info@odonoghuespharmacy.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,53.83449710000001,-7.082052099999999
Clare,Ballycasey Pharmacy,"Ballycasey Crescent, Shannon, Clare, V14 XY26",061 363 853,https://www.google.ie/maps/search/V14%20XY26,info@pharmacystore.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,52.7127942,-8.8665552
Clare,Boots Ennis,"40-42 O'Connell Street, Ennis, Clare, V95 C7YY",065 686 8394,https://www.google.ie/maps/search/V95%20C7YY,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8429608,-8.9828346
Clare,Corbally Pharmacy,"Applegreen Service Station, Shannonbanks, Corbally, Clare, V94 E37F",061 349 930,https://www.google.ie/maps/search/V94%20E37F,corballypharmacy@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.6831951,-8.6083734
Clare,Duffys Pharmacy Kilrush,"43 Frances Street, Kilrush, Clare, V15 YF72",065 905 1029,https://www.google.ie/maps/search/V15%20YF72,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.6375049,-9.4861535
Clare,Fennells Pharmacy,"O'Connell Square, Ennis, Clare, V95 KW22",065 679 7621,https://www.google.ie/maps/search/V95%20KW22,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8427332,-8.9830701
Clare,Flynn's Life Pharmacy,"Gort Road, Ennis, Clare, V95 YC6N",065 686 4477,https://www.google.ie/maps/search/V95%20YC6N,flynns@lifepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8589402,-8.9823706
Clare,Grogan's Pharmacy & Opticans,"Main Street, Ballina, Killaloe, Clare, V94 VX28",061 622 627,https://www.google.ie/maps/search/V94%20VX28,groganspharmopt@eircom.net,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8097584,-8.4370829
Clare,Haven Hollys,"23 Abbey Street, Ennis, Clare, V95 W82X",065 682 8568,https://www.google.ie/maps/search/V95%20W82X,hollys.ennis@havenpharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8449622,-8.981977299999999
Clare,Hurst Pharmacy,"36 O`Curry Street, Kilkee, Clare, V15 R156",065 908 3551,https://www.google.ie/maps/search/V15%20R156,NA,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.6788333,-9.6483059
Clare,Lloyd's Pharmacy Skycourt,"Skycourt Shopping Centre, Shannon, Clare, V14 RH21",061 360 716,https://www.google.ie/maps/search/V14%20RH21,store8058@lloydspharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,52.7104578,-8.879648999999999
Clare,Malone's Totalhhealth Pharmacy,"Saint Ritas Frances Street, Drimna, Kilrush, Clare, V15 DA24",065 905 2552,https://www.google.ie/maps/search/V15%20DA24,malones@totalhealth.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.6366434,-9.4884357
Clare,Murphy's Pharmacy Ennis,"Unit 7 Roslevan Shopping Centre, Tulla Road, Ennis, Clare, V95 NH95",065 689 3424,https://www.google.ie/maps/search/V95%20NH95,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8566807,-8.9594493
Clare,Murphy's Totalhealth Pharmacy,"Main Street, Ennistymon, Clare, V95 Y2C6",065 707 1990,https://www.google.ie/maps/search/V95%20Y2C6,Murphysennistymon@mphs.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.9402216,-9.293688900000001
Clare,Normoyles Pharmacy,"47 O'Connell Street, Ennis, Clare, V95 C780",065 682 8491,https://www.google.ie/maps/search/V95%20C780,normoyles@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.8428428,-8.9834097
Clare,O'Mearas Totalhealth Pharmacy,"Market Square, Scarriff, Clare, V94 DF77",061 921 028,https://www.google.ie/maps/search/V94%20DF77,omearas@totalhealth.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.9109144,-8.5314285
Clare,Rochford's Pharmacy,"Francis Street, Cappahard, Ennis, Clare, V95 KC3H",065 6820 555,https://www.google.ie/maps/search/V95%20KC3H,ennis@eirpharm.com,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.845712,-8.9774636
Clare,Rx+ Totalhealth Pharmacy,"Unit 48 & 48A Skycourt Shopping Centre, Shannon, Clare, V14 VX57",061 362 157,https://www.google.ie/maps/search/V14%20VX57,rx+@totalhealth.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,52.7104578,-8.879648999999999
Clare,Vardens Pharmacy,"Ennis Road, The Square, Newmarket on Fergus, Clare, V95 CX71",061 368 149,https://www.google.ie/maps/search/V95%20CX71,newmarket@vardenspharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.7630686,-8.8984655
Clare,West Clare Pharmacy,"Main Street, Miltown Malbay, Clare, V95 P8DW",065 708 4075,https://www.google.ie/maps/search/V95%20P8DW,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,52.8550572,-9.401031099999999
Cork,Allcare Late Night Pharmacy Wilton,"4 Cardinal Way, Wilton, Cork, T12 X22N",021 434 4575,https://www.google.ie/maps/search/T12%20X22N,wilton@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.881395,-8.510552299999999
Cork,Ballincollig Allcare Pharmacy,"Main Street, Ballincollig, Cork, P31 XW90",021 487 4050,https://www.google.ie/maps/search/P31%20XW90,ballincollig@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.888034,-8.5879216
Cork,Blackpool Bridge (O'Sheas),"39 Thomas Davis Street, Blackpool, Cork, T23 PV29",021 439 1838,https://www.google.ie/maps/search/T23%20PV29,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over, Dose 1 and 2","COVID-19 vaccines being offered:; 12 years and over, Dose 1 and 2",51.9111814,-8.473255
Cork,Bluetts Pharmacy,"1 Pearse Street, Scartagh, Clonakilty, Cork, P85 H368",023 883 3124,https://www.google.ie/maps/search/P85%20H368,bluetts@eircom.net,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.6231559,-8.8886745
Cork,Boots Ballincollig,"Units 1-3 Exchange House, Ballincollig, Cork, P31 CH73",021 421 4312,https://www.google.ie/maps/search/P31%20CH73,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8882229,-8.5898784
Cork,Boots Bandon,"12 - 13 South Main Street, Bandon, Cork, P72 YP77",023 882 9382,https://www.google.ie/maps/search/P72%20YP77,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.7451892,-8.7368516
Cork,Boots Blackpool,"Unit C Blackpool Retail Park, Blackpool, Cork, T23 DPY1",021 421 2036,https://www.google.ie/maps/search/T23%20DPY1,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9163395,-8.4718071
Cork,Boots Carrigaline,"Unit 7 Owenabue Mall, Carrigaline, Cork, P43 R263",021 437 6678,https://www.google.ie/maps/search/P43%20R263,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8166622,-8.398584099999999
Cork,Boots Douglas,"Douglas Court Shopping Centre, Douglas, Cork, T12 E298",021 436 4584,https://www.google.ie/maps/search/T12%20E298,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8784465,-8.431557
Cork,Boots Half Moon Street,"1 Half Moon Street, Cork City, Cork, T12 AN8C",021 427 3736,https://www.google.ie/maps/search/T12%20AN8C,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8995572,-8.4737805
Cork,Boots Macroom,"Fair Green Plaza, Sleveen East, Macroom, Cork, P12 VC53",026 439 84,https://www.google.ie/maps/search/P12%20VC53,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9055739,-8.9544006
Cork,Boots Mahon Point,"48-49 Mahon Point Shopping Centre, Mahon Point, Cork, T12 VX38",021 461 4414,https://www.google.ie/maps/search/T12%20VX38,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8856802,-8.3966178
Cork,Boots Mallow,"108 -109 Main Street, Mallow, Cork, P51 X6YH",022 506 33,https://www.google.ie/maps/search/P51%20X6YH,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.1358617,-8.6423566
Cork,Boots Merchants Quay,"Merchants Quay Shopping Centre, Patrick Street, Cork, T12 P890",021 427 2230,https://www.google.ie/maps/search/T12%20P890,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.899881,-8.4700869
Cork,Boots Midleton,"26-27 Main Street, Midleton, Cork, P25 YAW6",021 463 7944,https://www.google.ie/maps/search/P25%20YAW6,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9149137,-8.172908699999999
Cork,Boots Mitchelstown,"Living Health Centre, Mitchelstown, Cork, P67 T263",025 867 97,https://www.google.ie/maps/search/P67%20T263,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.2619771,-8.2728131
Cork,Boots Patrick Street,"71-72 Patrick Street, Cork City, Cork, T12 KDC0",021 427 5523,https://www.google.ie/maps/search/T12%20KDC0,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8985632,-8.4746232
Cork,Boots Wilton,"Unit 37-39 Wilton Shopping Centre, Wilton, Cork, T12 YK23",021 454 6500,https://www.google.ie/maps/search/T12%20YK23,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8809011,-8.5074382
Cork,Bourkes Pharmacy,"4A Iona Park, Mayfield, Cork, T23 EH11",021 450 2862,https://www.google.ie/maps/search/T23%20EH11,dispensary@bourkespharmacy.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.9118475,-8.4386562
Cork,Brendan Lynch Pharmacy,"17 Bridge Street, Cork City, Cork, T23 K6HT",021 450 1438,https://www.google.ie/maps/search/T23%20K6HT,bridgepharmacycork@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9014546,-8.4703871
Cork,Broderick Chemist,"84 Barrack Street, Cork City, Cork, T12 HW84",021 431 6011,https://www.google.ie/maps/search/T12%20HW84,broderickchemist@eircom.net,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8928169,-8.4804776
Cork,Cara Pharmacy,"3 Douglas East, Douglas, Cork, T14 X722",021 434 7247,https://www.google.ie/maps/search/T14%20X722,caracork@allcarepharmacy.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.8766616,-8.435154100000002
Cork,Cara Pharmacy Cork,"3 E Douglas Street, Douglas, Cork, T12 WV40",021 434 7247,https://www.google.ie/maps/search/T12%20WV40,CaraCork@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8766616,-8.435154100000002
Cork,Care Plus Pharmacy Cloyne,"The Square, Cloyne, Cork, P25 TW96",021 465 2543,https://www.google.ie/maps/search/P25%20TW96,cloynedispensary@careplus.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8632347,-8.1210921
Cork,Carrigaline CarePlus Pharmacy,"Kilnagleary Road, Estuary Business Park, Carrigaline, Cork, P43 PX99",021 475 7083,https://www.google.ie/maps/search/P43%20PX99,carrigalinepharmacy@careplus.ie,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.80907879999999,-8.373094
Cork,Carrigtwohill Pharmacy,"Unit 2-3 Carrigtwohill Shopping Centre, Carrigtwohill, Cork, T45 RH76",021 453 3755,https://www.google.ie/maps/search/T45%20RH76,NA,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.9091592,-8.2566174
Cork,CHC Life Pharmacy,"Charleville Health Centre, Charleville, Cork, P56 TP20",063 897 64,https://www.google.ie/maps/search/P56%20TP20,charlevillehcpharm@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,52.35729749999999,-8.6790158
Cork,Chemist Warehouse Ballincollig,"Unit 3 West City Retail Park, Innishmore, Ballincollig, Cork, P31 D256",021 212 9808,https://www.google.ie/maps/search/P31%20D256,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups",NA,51.8874563,-8.6096566
Cork,Clearys Pharmacy,"33-34 Main Street, Skibbereen, Cork, P81 T327",028 215 43,https://www.google.ie/maps/search/P81%20T327,clearysskibbereen@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.5490576,-9.2671218
Cork,Clockgate Pharmacy,"76 North Main Street, Youghal-lands, Youghal, Cork, P36 NY83",024 811 88,https://www.google.ie/maps/search/P36%20NY83,clockgatepharmacy@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9532587,-7.847693599999999
Cork,Coachford Pharmacy,"Main Street, Coachford, Cork, P12 HY99",021 743 4710,https://www.google.ie/maps/search/P12%20HY99,coachford@deasys.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.90934069999999,-8.7890828
Cork,Cobh Pharmacy,"3 East Beach, Cobh, Cork, P24DX93",021 481 1341,https://www.google.ie/maps/search/P24DX93,cobhpharmacy@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8505244,-8.2914199
Cork,College Road Pharmacy,"63 College Road, Glasheen, Cork, T12 X5F3",021 434 0455,https://www.google.ie/maps/search/T12%20X5F3,collegeroadpharmacy@gmail.com,NA,NA,COVID-19 vaccines being offered:; 12 years and over,51.8917059,-8.4942431
Cork,Crosshaven Pharmacy,"Lower Point Road, Crosshaven, Cork, P43 DT66",021 483 1200,https://www.google.ie/maps/search/P43%20DT66,crosshavenpharmacy@gmail.com,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8062712,-8.2910237
Cork,Crowley's Allcare Pharmacy,"Unit 3 Avenue De Rennes, Mahon, Cork, T12 KX34",021 435 9748,https://www.google.ie/maps/search/T12%20KX34,crowleys@allcarepharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8921364,-8.4044402
Cork,Crowleys Pharmacy,"Market Square, Dunmanway, Cork, P47 XH31",023 884 5471,https://www.google.ie/maps/search/P47%20XH31,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.7216812,-9.114217
Cork,Dalton's Pharmacy Cork,"Unit 11/12 North Main Street Shopping Centre, North Main Street, Cork City, Cork, T12 E77Y",021 427 6066,https://www.google.ie/maps/search/T12%20E77Y,info@daltonspharmacy.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9003726,-8.478857
Cork,Deasy's Careplus Pharmacy,"Main Street, Ballymakeery, Ballymakeera, Cork, P12 XY03",026 454 21,https://www.google.ie/maps/search/P12%20XY03,deasys.ballymakeera@careplus.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9364377,-9.1453699
Cork,Deasys Pharmacy,"Main Street, Macroom, Cork, P12 WN82",026 410 48,https://www.google.ie/maps/search/P12%20WN82,macroom@deasys.ie,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.9047804,-8.9577265
Cork,Dennehy's Cross Pharmacy,"Dennehy's Cross, Wilton Road, Cork City, Cork, T12 WPW6",021 486 5963,https://www.google.ie/maps/search/T12%20WPW6,NA,NA,"Flu vaccine being offered:; Children's nasal spray flu vaccine, Flu vaccine for at risk groups, 12 years and over",COVID-19 vaccines being offered:; 12 years and over,51.8859597,-8.50675
